,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,5.81,61,75,4.63,broken clouds
1,Kavieng,PG,-2.5744,150.7967,29.47,66,35,5.09,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,6.93,98,100,2.81,overcast clouds
3,Kahului,US,20.8947,-156.47,28.32,67,20,10.8,few clouds
4,Kuching,MY,1.55,110.3333,30.12,66,20,1.54,few clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,9.01,66,0,5.66,clear sky
6,Port Alfred,ZA,-33.5906,26.891,14.37,83,41,6.48,scattered clouds
7,Urusha,RU,54.05,122.9,14.09,71,100,2.83,overcast clouds
8,San Cristobal,VE,7.7669,-72.225,18.62,98,100,0.92,overcast clouds
9,Lebu,CL,-37.6167,-73.65,6.53,84,3,2.42,clear sky
10,Bluff,NZ,-46.6,168.3333,7.11,74,100,8.63,overcast clouds
11,Nikolskoye,RU,59.7035,30.7861,17.23,93,68,2.83,light rain
12,Punta Arenas,CL,-53.15,-70.9167,5.06,75,90,8.75,overcast clouds
13,Castro,BR,-24.7911,-50.0119,12.05,78,6,1.63,clear sky
14,Fortuna,US,40.5982,-124.1573,16.07,69,1,0.89,clear sky
15,Pevek,RU,69.7008,170.3133,3.1,83,62,5.03,broken clouds
16,Chokurdakh,RU,70.6333,147.9167,23.16,31,77,6.39,broken clouds
17,Mount Gambier,AU,-37.8333,140.7667,15.95,55,40,7.72,scattered clouds
18,New Norfolk,AU,-42.7826,147.0587,14.93,72,86,0.89,light rain
19,Ilulissat,GL,69.2167,-51.1,6.01,87,75,1.54,broken clouds
20,Albany,US,42.6001,-73.9662,21.75,89,7,1.67,clear sky
21,Port Elizabeth,ZA,-33.918,25.5701,14.16,72,0,6.17,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,10.62,87,100,4.63,light rain
23,Yellowknife,CA,62.456,-114.3525,11.29,62,75,2.06,broken clouds
24,Comodoro Rivadavia,AR,-45.8667,-67.5,3.92,52,0,2.57,clear sky
25,Cape Town,ZA,-33.9258,18.4232,11.73,88,78,0.45,broken clouds
26,Ostersund,SE,63.1792,14.6357,12.25,100,75,0.0,fog
27,Kempele,FI,64.9131,25.5034,16.01,94,90,5.66,overcast clouds
28,San Juan,AR,-31.5375,-68.5364,6.05,77,96,7.64,overcast clouds
29,Butaritari,KI,3.0707,172.7902,28.75,59,14,4.22,few clouds
30,Mitu,CO,1.1983,-70.1733,22.25,99,76,0.69,broken clouds
31,Lagoa,PT,39.05,-27.9833,21.84,83,23,8.14,few clouds
32,Hasaki,JP,35.7333,140.8333,30.22,82,63,13.25,broken clouds
33,Manggar,ID,-2.8833,108.2667,29.11,71,80,4.51,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,2.85,70,93,2.59,overcast clouds
35,Nanortalik,GL,60.1432,-45.2371,5.81,93,44,5.43,scattered clouds
36,Vallenar,CL,-28.5708,-70.7581,10.3,63,2,1.49,clear sky
37,Dudinka,RU,69.4058,86.1778,18.86,51,9,9.29,clear sky
38,Barrow,US,71.2906,-156.7887,4.01,87,90,4.12,overcast clouds
39,Busselton,AU,-33.65,115.3333,13.94,70,84,12.04,broken clouds
40,Ancud,CL,-41.8697,-73.8203,5.24,85,11,1.65,few clouds
41,Avera,US,33.194,-82.5271,26.93,68,95,0.67,overcast clouds
42,Iwanai,JP,42.9744,140.5089,24.11,93,100,0.76,overcast clouds
43,Brae,GB,60.3964,-1.353,13.95,90,100,3.78,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,8.09,92,100,8.26,light rain
45,Pangnirtung,CA,66.1451,-65.7125,6.5,89,100,2.68,light rain
46,Vaini,TO,-21.2,-175.2,25.09,69,20,4.63,few clouds
47,Harda,IN,22.3333,77.1,26.26,87,99,2.36,overcast clouds
48,Hobart,AU,-42.8794,147.3294,14.92,57,75,1.34,broken clouds
49,Chuy,UY,-33.6971,-53.4616,14.13,96,81,3.42,moderate rain
50,Port Blair,IN,11.6667,92.75,29.39,76,98,5.35,overcast clouds
51,Thompson,CA,55.7435,-97.8558,15.81,80,100,2.17,overcast clouds
52,Sumbe,AO,-11.2061,13.8437,21.29,91,6,2.28,clear sky
53,Atuona,PF,-9.8,-139.0333,25.58,77,15,9.42,few clouds
54,Coquimbo,CL,-29.9533,-71.3436,10.85,87,0,3.09,clear sky
55,Vila Franca Do Campo,PT,37.7167,-25.4333,21.23,89,48,4.53,scattered clouds
56,Hithadhoo,MV,-0.6,73.0833,27.56,70,93,0.96,overcast clouds
57,Morant Bay,JM,17.8815,-76.4093,27.79,81,7,2.66,clear sky
58,Faanui,PF,-16.4833,-151.75,26.3,77,27,5.69,light rain
59,Saint-Joseph,RE,-21.3667,55.6167,19.21,81,44,1.4,scattered clouds
60,Beira,MZ,-19.8436,34.8389,16.05,100,90,2.57,fog
61,Puerto Ayora,EC,-0.7393,-90.3518,20.86,90,32,1.79,scattered clouds
62,Rikitea,PF,-23.1203,-134.9692,23.69,78,16,5.19,few clouds
63,Homer,US,59.6425,-151.5483,12.27,95,90,6.17,mist
64,Maniitsoq,GL,65.4167,-52.9,5.28,81,38,1.12,scattered clouds
65,Faya,SA,18.3851,42.4509,22.29,47,62,1.3,broken clouds
66,Mutare,ZW,-18.9707,32.6709,9.92,82,0,0.92,clear sky
67,East London,ZA,-33.0153,27.9116,16.09,77,41,5.62,scattered clouds
68,Victoria,HK,22.2855,114.1577,31.03,86,100,1.43,overcast clouds
69,Hermanus,ZA,-34.4187,19.2345,11.61,70,100,8.59,light rain
70,Ocos,GT,14.5094,-92.1933,27.22,88,100,4.71,overcast clouds
71,Poum,NC,-20.2333,164.0167,21.79,57,6,6.58,clear sky
72,Kamenka,RU,51.3223,42.7678,25.15,36,100,5.11,light rain
73,Vao,NC,-22.6667,167.4833,19.03,64,92,11.14,overcast clouds
74,Laguna,US,38.421,-121.4238,32.91,48,1,1.34,clear sky
75,Baturaja,ID,-4.1333,104.1667,31.19,55,17,2.15,few clouds
76,Codrington,AU,-38.2667,141.9667,14.65,63,63,6.88,broken clouds
77,Haines Junction,CA,60.7522,-137.5108,14.97,51,100,2.57,overcast clouds
78,Berlevag,NO,70.8578,29.0864,12.0,68,77,3.46,broken clouds
79,Yuzhnyy,RU,53.2542,83.6936,22.21,64,91,3.0,overcast clouds
80,Jamestown,US,42.097,-79.2353,22.14,89,1,0.45,clear sky
81,Bengkulu,ID,-3.8004,102.2655,28.94,69,94,0.8,overcast clouds
82,Teguise,ES,29.0605,-13.564,19.12,78,20,6.69,few clouds
83,Bilma,NE,18.6853,12.9164,31.62,44,66,5.05,broken clouds
84,Cherskiy,RU,68.75,161.3,18.31,28,70,2.68,broken clouds
85,Bubaque,GW,11.2833,-15.8333,25.49,85,100,4.48,moderate rain
86,Kaitangata,NZ,-46.2817,169.8464,4.78,93,66,5.42,broken clouds
87,Baruun-Urt,MN,46.6806,113.2792,19.54,59,68,4.46,broken clouds
88,Katsuura,JP,35.1333,140.3,32.06,87,62,13.47,broken clouds
89,Melipilla,CL,-33.7,-71.2167,9.06,90,12,0.76,few clouds
90,Torbay,CA,47.6666,-52.7314,13.1,87,75,5.66,broken clouds
91,Limbang,MY,4.75,115.0,32.17,49,100,0.28,overcast clouds
92,Bintulu,MY,3.1667,113.0333,28.23,78,20,2.06,few clouds
93,Lompoc,US,34.6391,-120.4579,20.43,86,75,3.6,fog
94,Alice Springs,AU,-23.7,133.8833,21.75,17,0,3.09,clear sky
