City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Namatanai,-3.6667,152.4333,25.59,86,99,4.15,PG,2021-08-05 19:51:06
1,San Vicente,-26.6167,-54.1333,19.93,45,100,0.93,AR,2021-08-05 19:51:06
2,Nioro,13.35,-15.75,27.29,75,41,2.03,GM,2021-08-05 19:51:07
3,Ushuaia,-54.8,-68.3,9.79,75,75,14.92,AR,2021-08-05 19:48:03
4,Port Hardy,50.6996,-127.4199,16.1,88,90,5.66,CA,2021-08-05 19:51:07
5,Kapaa,22.0752,-159.319,28.18,69,40,2.24,US,2021-08-05 19:51:07
6,Ponta Do Sol,32.6667,-17.1,24.28,83,29,0.67,PT,2021-08-05 19:51:08
7,Castro,-24.7911,-50.0119,15.01,70,100,3.32,BR,2021-08-05 19:51:08
8,Lasa,46.6166,10.7002,16.68,83,93,1.95,IT,2021-08-05 19:51:08
9,Rikitea,-23.1203,-134.9692,23.29,75,29,8.12,PF,2021-08-05 19:51:08
10,Punta Arenas,-53.15,-70.9167,8.06,61,75,6.69,CL,2021-08-05 19:51:09
11,Atuona,-9.8,-139.0333,25.49,75,36,7.11,PF,2021-08-05 19:50:42
12,Shingu,33.7333,135.9833,26.06,95,100,4.26,JP,2021-08-05 19:51:09
13,Albany,42.6001,-73.9662,27.87,57,67,1.17,US,2021-08-05 19:51:09
14,Goderich,43.7501,-81.7165,29.46,50,0,4.12,CA,2021-08-05 19:46:31
15,Kavaratti,10.5669,72.642,27.89,80,99,9.28,IN,2021-08-05 19:50:54
16,Rizhao,35.4275,119.4553,24.82,92,100,1.89,CN,2021-08-05 19:51:10
17,Kavieng,-2.5744,150.7967,27.8,72,100,1.5,PG,2021-08-05 19:51:10
18,Bluff,-46.6,168.3333,3.22,86,74,3.22,NZ,2021-08-05 19:51:10
19,Sola,-13.8833,167.55,25.46,75,28,1.3,VU,2021-08-05 19:51:11
20,Freeport,40.6576,-73.5832,28.8,68,90,0.45,US,2021-08-05 19:47:33
21,Qaanaaq,77.484,-69.3632,8.32,60,33,0.94,GL,2021-08-05 19:51:11
22,Mataura,-46.1927,168.8643,3.04,98,19,1.14,NZ,2021-08-05 19:48:25
23,Norsup,-16.0667,167.3833,24.26,79,67,1.74,VU,2021-08-05 19:51:12
24,Arlit,18.7369,7.3853,31.5,43,20,7.7,NE,2021-08-05 19:51:12
25,Salalah,17.0151,54.0924,24.79,89,95,3.65,OM,2021-08-05 19:50:05
26,Vaini,-21.2,-175.2,18.09,88,75,2.06,TO,2021-08-05 19:51:12
27,Hobart,-42.8794,147.3294,12.81,60,40,1.79,AU,2021-08-05 19:46:30
28,Hirado,33.3597,129.5531,27.2,71,1,1.98,JP,2021-08-05 19:51:13
29,Ondjiva,-17.0667,15.7333,18.48,24,6,2.82,AO,2021-08-05 19:51:05
30,Port Alfred,-33.5906,26.891,16.81,92,7,2.43,ZA,2021-08-05 19:49:00
31,Margate,51.3813,1.3862,17.84,94,100,1.79,GB,2021-08-05 19:51:13
32,Yatou,37.15,122.3833,23.16,95,100,3.1,CN,2021-08-05 19:51:09
33,Kropotkin,45.4375,40.5756,25.74,48,40,5.51,RU,2021-08-05 19:51:13
34,Vestmanna,62.1564,-7.1664,11.51,100,90,3.6,FO,2021-08-05 19:51:14
35,Flinders,-34.5833,150.8552,10.6,76,0,3.64,AU,2021-08-05 19:51:14
36,Busselton,-33.65,115.3333,3.94,82,0,2.73,AU,2021-08-05 19:50:07
37,Marsh Harbour,26.5412,-77.0636,29.19,73,71,6.38,BS,2021-08-05 19:51:14
38,Shache,38.4167,77.2406,25.93,27,100,2.52,CN,2021-08-05 19:51:15
39,Half Moon Bay,37.4636,-122.4286,29.39,73,20,7.72,US,2021-08-05 19:51:15
40,Norman Wells,65.282,-126.8329,17.02,67,75,5.14,CA,2021-08-05 19:48:07
41,Pevek,69.7008,170.3133,3.17,97,100,1.98,RU,2021-08-05 19:51:15
42,Talnakh,69.4865,88.3972,18.57,69,82,1.35,RU,2021-08-05 19:51:15
43,Karasjok,69.4719,25.5112,11.06,77,80,2.09,NO,2021-08-05 19:51:16
44,Arroyo Grande,35.1186,-120.5907,32.88,54,1,1.79,US,2021-08-05 19:46:55
45,Barcelos,41.5388,-8.6151,20.51,91,1,2.54,PT,2021-08-05 19:51:16
46,Saldanha,-33.0117,17.9442,11.03,88,0,1.57,ZA,2021-08-05 19:51:16
47,Petropavlovsk-Kamchatskiy,53.0452,158.6483,8.33,71,0,5.0,RU,2021-08-05 19:51:17
48,Axim,4.8699,-2.2405,24.9,83,98,3.72,GH,2021-08-05 19:51:17
49,Hobyo,5.3505,48.5268,24.68,81,77,12.76,SO,2021-08-05 19:51:17
50,Hermanus,-34.4187,19.2345,13.28,89,1,4.51,ZA,2021-08-05 19:48:03
51,Oktyabrskiy,54.4815,53.471,16.24,68,8,1.95,RU,2021-08-05 19:51:18
52,Praia Da Vitoria,38.7333,-27.0667,28.14,51,40,5.71,PT,2021-08-05 19:51:18
53,Klyuchi,52.2667,79.1667,16.62,71,16,3.14,RU,2021-08-05 19:48:16
54,Kruisfontein,-34.0033,24.7314,13.82,98,100,0.48,ZA,2021-08-05 19:51:18
55,Lebu,-37.6167,-73.65,13.0,73,100,5.92,CL,2021-08-05 19:51:18
56,Victoria Point,-27.5833,153.3,12.17,82,32,0.89,AU,2021-08-05 19:51:19
57,Cabo San Lucas,22.8909,-109.9124,33.78,62,81,2.24,MX,2021-08-05 19:49:43
58,Cidreira,-30.1811,-50.2056,16.58,88,96,6.5,BR,2021-08-05 19:51:19
59,Sumbe,-11.2061,13.8437,21.73,92,8,1.78,AO,2021-08-05 19:51:19
60,Saint-Augustin,51.226,-58.6502,20.96,66,100,9.71,CA,2021-08-05 19:51:20
61,Dikson,73.5069,80.5464,10.46,87,0,1.1,RU,2021-08-05 19:49:20
62,Severo-Kurilsk,50.6789,156.125,12.0,83,26,8.62,RU,2021-08-05 19:51:20
63,Yellowknife,62.456,-114.3525,17.96,63,75,1.79,CA,2021-08-05 19:47:28
64,Quelimane,-17.8786,36.8883,20.97,88,40,2.24,MZ,2021-08-05 19:51:20
65,Bredasdorp,-34.5322,20.0403,11.62,94,40,1.54,ZA,2021-08-05 19:51:21
66,Airai,-8.9266,125.4092,12.54,64,94,1.76,TL,2021-08-05 19:49:19
67,Clyde River,70.4692,-68.5914,4.13,100,90,5.14,CA,2021-08-05 19:51:21
68,Guia De Isora,28.2115,-16.7795,23.02,72,5,3.13,ES,2021-08-05 19:51:21
69,Sao Jose Da Coroa Grande,-8.8978,-35.1478,23.69,83,31,5.22,BR,2021-08-05 19:51:22
70,Vavoua,7.3819,-6.4778,22.84,82,34,1.78,CI,2021-08-05 19:51:22
71,Oroshaza,46.5667,20.6667,21.1,82,58,3.56,HU,2021-08-05 19:51:22
72,Rabaul,-4.1967,152.1721,25.57,87,100,8.12,PG,2021-08-05 19:51:22
73,Hilo,19.7297,-155.09,26.0,81,90,1.54,US,2021-08-05 19:51:23
74,Yantal,56.8471,105.2542,12.16,98,30,1.51,RU,2021-08-05 19:51:23
75,Ostrovnoy,68.0531,39.5131,10.76,78,100,2.39,RU,2021-08-05 19:51:23
76,Butaritari,3.0707,172.7902,28.88,61,12,4.81,KI,2021-08-05 19:48:12
77,Tiznit,29.5833,-9.5,22.2,70,3,1.5,MA,2021-08-05 19:51:24
78,Chokurdakh,70.6333,147.9167,2.57,86,100,4.79,RU,2021-08-05 19:47:58
79,Chokwe,-24.5333,32.9833,18.36,57,0,3.34,MZ,2021-08-05 19:51:24
80,Blagoyevo,63.3667,47.9167,8.06,93,9,2.02,RU,2021-08-05 19:51:24
81,Lindi,-10.0,39.7167,21.69,88,29,1.24,TZ,2021-08-05 19:51:25
82,Tsaratanana,-16.7833,47.65,17.85,72,0,4.79,MG,2021-08-05 19:51:25
83,Avarua,-21.2078,-159.775,24.03,69,75,1.03,CK,2021-08-05 19:48:22
84,Key West,24.5557,-81.7826,33.0,63,1,3.09,US,2021-08-05 19:50:58
85,Padang,-0.9492,100.3543,25.21,87,99,1.55,ID,2021-08-05 19:51:25
86,Filadelfia,39.9523,-75.1638,31.1,43,40,1.79,US,2021-08-05 19:49:18
87,Kodiak,57.79,-152.4072,15.73,77,90,0.0,US,2021-08-05 19:48:49
88,Carnarvon,-24.8667,113.6333,11.04,33,0,4.63,AU,2021-08-05 19:48:59
89,Lima,-12.0432,-77.0282,20.08,68,75,5.14,PE,2021-08-05 19:51:26
90,Vadinsk,53.6916,43.0574,18.42,59,65,3.22,RU,2021-08-05 19:51:26
91,Esperance,-33.8667,121.9,9.91,82,0,4.7,AU,2021-08-05 19:51:26
92,Waipawa,-41.4122,175.5153,9.35,90,100,1.92,NZ,2021-08-05 19:51:27
93,Rovaniemi,66.5,25.7167,14.67,67,0,4.12,FI,2021-08-05 19:51:27
94,Bayburt,40.2589,40.2278,18.69,66,100,2.39,TR,2021-08-05 19:51:27
95,Jumla,29.2747,82.1838,17.3,97,99,0.33,NP,2021-08-05 19:51:28
96,Hithadhoo,-0.6,73.0833,27.03,78,99,3.12,MV,2021-08-05 19:51:28
97,Pangody,65.85,74.4859,18.95,62,80,2.87,RU,2021-08-05 19:51:28
98,Pareora,-44.4871,171.2132,6.21,96,100,2.2,NZ,2021-08-05 19:51:28
99,Taunton,51.0211,-3.1047,18.06,91,24,2.24,GB,2021-08-05 19:49:49
100,East London,-33.0153,27.9116,18.9,85,86,1.77,ZA,2021-08-05 19:50:31
101,Riyadh,24.6877,46.7219,36.08,11,13,3.69,SA,2021-08-05 19:49:53
102,Baykit,61.67,96.37,15.45,80,10,1.57,RU,2021-08-05 19:51:29
103,Moron,-34.6534,-58.6198,13.88,86,0,2.95,AR,2021-08-05 19:48:44
104,Sao Felix Do Xingu,-6.6447,-51.995,35.98,17,50,2.11,BR,2021-08-05 19:51:29
105,Port Blair,11.6667,92.75,27.7,85,100,9.06,IN,2021-08-05 19:51:30
106,Sitka,57.0531,-135.33,18.94,59,90,4.63,US,2021-08-05 19:48:21
107,Tiksi,71.6872,128.8694,5.19,86,100,4.26,RU,2021-08-05 19:51:30
108,Boende,-0.2167,20.8667,23.44,74,15,1.36,CD,2021-08-05 19:51:30
109,Aklavik,68.2191,-135.0107,20.4,45,40,1.54,CA,2021-08-05 19:51:31
110,Isangel,-19.55,169.2667,19.06,82,80,2.06,VU,2021-08-05 19:51:31
111,Byron Bay,-28.65,153.6167,9.37,74,49,2.81,AU,2021-08-05 19:49:49
112,Yakeshi,49.2833,120.7333,12.23,96,31,2.35,CN,2021-08-05 19:51:31
113,Leningradskiy,69.3833,178.4167,4.65,95,97,1.4,RU,2021-08-05 19:51:32
114,Shimoda,34.6667,138.95,25.64,88,44,4.59,JP,2021-08-05 19:51:32
115,Vila Franca Do Campo,37.7167,-25.4333,23.23,76,0,3.63,PT,2021-08-05 19:51:32
